timestamp,pitch,y_pos,z_pos,o2_level,o2_leak_rate,co2_level,net_power,total_drain,solar_input,is_scrubber_on,is_engine_on,is_anomaly
1,141.01228180901413,0.006653442035703739,0.002666544344669803,99.996,1,408.0,8699.999742683616,2500.0,11199.999742683616,0,1,0
2,141.02906016577134,0.00010024524627961356,0.012295080133150891,99.99199999999999,1,416.0,8699.99855941487,2500.0,11199.99855941487,0,1,0
3,141.04539111694874,-0.00218602707989191,0.012040533056950997,99.98799999999999,1,424.0,8699.996485330612,2500.0,11199.996485330612,0,1,0
4,141.0336332097568,-0.006069720259045761,0.020022980163417015,99.98399999999998,1,432.0,8699.998070346277,2500.0,11199.998070346277,0,1,0
5,141.04852216448288,-0.013138167549145834,0.024398655744123587,99.97999999999998,1,440.0,8699.995983728462,2500.0,11199.995983728462,0,1,0
6,141.0668209698031,-0.013338725918206411,0.027091531599117192,99.97599999999997,1,448.0,8699.992383275243,2500.0,11199.992383275243,0,1,0
7,141.04752231248662,-0.015398154433623383,0.03440239487541935,99.97199999999997,1,456.0,8699.99614754239,2500.0,11199.99614754239,0,1,0
8,141.05666294753283,-0.006087837791401082,0.027245418301534152,99.96799999999996,1,464.0,8699.994523021309,2500.0,11199.994523021309,0,1,0
9,141.06872575549804,-0.01283985328515981,0.03426649337304749,99.96399999999996,1,472.0,8699.991942844312,2500.0,11199.991942844312,0,1,0
10,141.08516816261104,-0.0030812052926062015,0.03589347146325243,99.95999999999995,1,480.0,8699.987626366787,2500.0,11199.987626366787,0,1,0
11,141.07678542061043,-0.010759571776324969,0.027988185538442567,99.95599999999995,1,488.0,8699.98994226399,2500.0,11199.98994226399,0,1,0
12,141.06491858728512,-0.019490902282323214,0.03119888963592659,99.95199999999994,1,496.0,8699.992810795515,2500.0,11199.992810795515,0,1,0
9,141.00519059272852,0.0007789563124359607,-0.005649870995618521,99.96399999999996,1,472.0,8699.999954040355,2500.0,11199.999954040355,0,1,0
10,140.99286864602868,0.008655244588763884,0.0017187581965295157,99.95999999999995,1,480.0,8699.999913246551,2500.0,11199.999913246551,0,1,0
11,140.97568043651665,0.002750694776717389,0.007339205911478646,99.95599999999995,1,488.0,8699.998991085633,2500.0,11199.998991085633,0,1,0
12,140.964187457514,-0.0030375053541929174,0.014842000391544416,99.95199999999994,1,496.0,8699.9978121726,2500.0,11199.9978121726,0,1,0
13,140.98408409601538,-0.001616552621676138,0.01160162280552673,99.94799999999994,1,504.0,8699.999567878991,2500.0,11199.999567878991,0,1,0
14,141.00302114648494,-0.007786039532071888,0.01385023934569405,99.94399999999993,1,512.0,8699.99998443008,2500.0,11199.99998443008,0,1,0
15,140.99965101409683,-0.013107477029234977,0.011743692943625884,99.93999999999993,1,520.0,8699.999999792242,2500.0,11199.999999792242,0,1,0
16,140.98671311908183,-0.00993412641272851,0.018279454178915164,99.93599999999992,1,528.0,8699.999698845853,2500.0,11199.999698845853,0,1,0
17,140.9701605341461,-0.0034415162950388947,0.018533079875078604,99.93199999999992,1,536.0,8699.998481115179,2500.0,11199.998481115179,0,1,0
18,140.95726080609688,-0.012784332983252879,0.027541492997083944,99.92799999999991,1,544.0,8699.996884014732,2500.0,11199.996884014732,0,1,0
19,140.9677651175055,-0.012201279129973656,0.0369276379836616,99.92399999999991,1,552.0,8699.998227464534,2500.0,11199.998227464534,0,1,0
20,140.95268391335912,-0.01955937239292755,0.030340991317972132,99.9199999999999,1,560.0,8699.996180905768,2500.0,11199.996180905768,0,1,0
21,140.9523396285478,-0.023644841974166657,0.03629761044796101,99.9159999999999,1,568.0,8699.996125126021,2500.0,11199.996125126021,0,1,0
22,140.970274338718,-0.02497045015204652,0.03655922266519816,99.91199999999989,1,576.0,8699.998492678818,2500.0,11199.998492678818,0,1,0
23,140.96300028615013,-0.019696017300331208,0.043980420770021796,99.90799999999989,1,584.0,8699.997664717215,2500.0,11199.997664717215,0,1,0
24,140.97082660088859,-0.012071311389061484,0.04786987668468244,99.90399999999988,1,592.0,8699.998548166479,2500.0,11199.998548166479,0,1,0
25,140.9517084515402,-0.004403893352009851,0.041095079601858125,99.89999999999988,1,600.0,8699.996021814784,2500.0,11199.996021814784,0,1,0
26,140.94091017623384,0.0008380754390797662,0.04078525723904019,99.89599999999987,1,608.0,8699.994043815897,2500.0,11199.994043815897,0,1,0
27,140.9397879747639,0.002031200289218391,0.044730568113297536,99.89199999999987,1,616.0,8699.993815434518,2500.0,11199.993815434518,0,1,0
28,140.92108928210945,0.009371161758518487,0.039324478250373225,99.88799999999986,1,624.0,8699.989377794911,2500.0,11199.989377794911,0,1,0
29,140.9132583896361,0.010718178918201473,0.03064202612626457,99.88399999999986,1,632.0,8699.987164947766,2500.0,11199.987164947766,0,1,0
30,140.91370856470624,0.010984395898624945,0.02862214909771047,99.87999999999985,1,640.0,8699.987297825768,2500.0,11199.987297825768,0,1,0
31,140.91093052615273,0.019481024739110068,0.01966158236814315,99.87599999999985,1,648.0,8699.986466801609,2500.0,11199.986466801609,0,1,0
32,140.92183343181583,0.016691556997264177,0.029339802350017312,99.87199999999984,1,656.0,8699.98957719086,2500.0,11199.98957719086,0,1,0
