timestamp,pitch,y_pos,z_pos,o2_level,o2_leak_rate,co2_level,net_power,total_drain,solar_input,is_scrubber_on,is_engine_on,is_anomaly
9,141.07218565059074,-0.049206496572991996,-0.02835975017498968,99.96399999999996,1,472.0,8699.99111117298,2500.0,11199.99111117298,0,1,0
10,141.0904266691971,-0.04427135947574484,-0.018585793557346512,99.95999999999995,1,480.0,8699.986051235552,2500.0,11199.986051235552,0,1,0
11,141.10118669073645,-0.04681937818240615,-0.023525610058712995,99.95599999999995,1,488.0,8699.982534161712,2500.0,11199.982534161712,0,1,0
12,141.0956971252342,-0.0548945372909779,-0.0325017672460547,99.95199999999994,1,496.0,8699.984377862911,2500.0,11199.984377862911,0,1,0
13,141.08701166101662,-0.046413218548413564,-0.041643451144140406,99.94799999999994,1,504.0,8699.987084905233,2500.0,11199.987084905233,0,1,0
14,141.08391677825867,-0.05613355776766119,-0.03265727695712262,99.94399999999993,1,512.0,8699.98798730948,2500.0,11199.98798730948,0,1,0
15,141.06708535398576,-0.05959613138054457,-0.032776506120663754,99.93999999999993,1,520.0,8699.99232288327,2500.0,11199.99232288327,0,1,0
16,141.06243700615866,-0.05174741272718691,-0.037154882231678656,99.93599999999992,1,528.0,8699.993349920145,2500.0,11199.993349920145,0,1,0
17,141.04806692348353,-0.048025818683280715,-0.03524887270393406,99.93199999999992,1,536.0,8699.996058737248,2500.0,11199.996058737248,0,1,0
18,141.06577409252196,-0.043563970501217936,-0.044007666303014094,99.92799999999991,1,544.0,8699.99262006657,2500.0,11199.99262006657,0,1,0
19,141.0573758447872,-0.052692731740156595,-0.04830575024287839,99.92399999999991,1,552.0,8699.994384338623,2500.0,11199.994384338623,0,1,0
20,141.0568427654149,-0.043789119173460817,-0.04220951338408422,99.9199999999999,1,560.0,8699.994488204153,2500.0,11199.994488204153,0,1,0
21,141.04020198131806,-0.04458311838182731,-0.03585291170156613,99.9159999999999,1,568.0,8699.99724299433,2500.0,11199.99724299433,0,1,0
22,141.05943683569544,-0.046871886878273664,-0.027713201909150546,99.91199999999989,1,576.0,8699.993973653705,2500.0,11199.993973653705,0,1,0
23,141.0628401481257,-0.05059567672465901,-0.019216153390358454,99.90799999999989,1,584.0,8699.993263766715,2500.0,11199.993263766715,0,1,0
24,141.08276480866013,-0.04640883989692557,-0.024812270685556803,99.90399999999988,1,592.0,8699.988314854689,2500.0,11199.988314854689,0,1,0
25,141.07053397503097,-0.0423500228890889,-0.031148200571194263,99.89999999999988,1,600.0,8699.991513288734,2500.0,11199.991513288734,0,1,0
26,141.07993811258095,-0.04365386382470998,-0.023206415268906336,99.89599999999987,1,608.0,8699.989099398288,2500.0,11199.989099398288,0,1,0
27,141.06053771140975,-0.05148140739992618,-0.013793409795580224,99.89199999999987,1,616.0,8699.99374834909,2500.0,11199.99374834909,0,1,0
28,141.0452167955126,-0.05798285684901308,-0.022451775102998527,99.88799999999986,1,624.0,8699.99651227446,2500.0,11199.99651227446,0,1,0
29,141.030080215137,-0.05868580079093439,-0.014641359588283194,99.88399999999986,1,632.0,8699.998456507128,2500.0,11199.998456507128,0,1,0
30,141.0228600287193,-0.058016976074438294,-0.0075079026195443675,99.87999999999985,1,640.0,8699.999108551416,2500.0,11199.999108551416,0,1,0
31,141.03758311022102,-0.062291170265216494,-0.006267724679119216,99.87599999999985,1,648.0,8699.997590493056,2500.0,11199.997590493056,0,1,0
32,141.05659291003477,-0.06936169299731748,-0.004939632842389158,99.87199999999984,1,656.0,8699.994536552436,2500.0,11199.994536552436,0,1,0
33,141.07380343654575,-0.07650221904177044,-0.00972064968861254,99.86799999999984,1,664.0,8699.990708285195,2500.0,11199.990708285195,0,1,0
34,141.05897629996088,-0.07860090885468299,-0.013069682645167068,99.86399999999983,1,672.0,8699.99406668004,2500.0,11199.99406668004,0,1,0
35,141.07202646600086,-0.0877855095328888,-0.01326322798641273,99.85999999999983,1,680.0,8699.991150333226,2500.0,11199.991150333226,0,1,0
36,141.07400111892437,-0.07785774476196726,-0.01308955618230127,99.85599999999982,1,688.0,8699.990658442855,2500.0,11199.990658442855,0,1,0
37,141.08701888803375,-0.07230770389022723,-0.02184942651489255,99.85199999999982,1,696.0,8699.98708275974,2500.0,11199.98708275974,0,1,0
38,141.07961420357603,-0.07660037708920926,-0.01868691904428433,99.84799999999981,1,704.0,8699.989187557716,2500.0,11199.989187557716,0,1,0
39,141.0803320817951,-0.07468330928049402,-0.017260619812306522,99.84399999999981,1,712.0,8699.988991687882,2500.0,11199.988991687882,0,1,0
40,141.08298474457857,-0.07888922851239963,-0.01595063542091617,99.8399999999998,1,720.0,8699.988252668902,2500.0,11199.988252668902,0,1,0
41,141.0935316893312,-0.07409090878200553,-0.018848741130022526,99.8359999999998,1,728.0,8699.985076859677,2500.0,11199.985076859677,0,1,0
42,141.11014426891276,-0.06787526130358766,-0.026491326447773973,99.8319999999998,1,736.0,8699.979304952016,2500.0,11199.979304952016,0,1,0
43,141.10939639007105,-0.06920149445178207,-0.029300388672084475,99.82799999999979,1,744.0,8699.979585036279,2500.0,11199.979585036279,0,1,0
44,141.12199670977128,-0.07713940371973575,-0.021115849687623818,99.82399999999978,1,752.0,8699.974611395277,2500.0,11199.974611395277,0,1,0
45,141.10405111428906,-0.070014450271661,-0.02624463466710537,99.81999999999978,1,760.0,8699.98153130906,2500.0,11199.98153130906,0,1,0
46,141.08507641918388,-0.07478769386764585,-0.01966335476802944,99.81599999999978,1,768.0,8699.987653010261,2500.0,11199.987653010261,0,1,0
47,141.07045810539202,-0.08224132102039322,-0.014627983931486985,99.81199999999977,1,776.0,8699.99153153632,2500.0,11199.99153153632,0,1,0
48,141.05124755675405,-0.09071244646408831,-0.022977374509327773,99.80799999999977,1,784.0,8699.995519886017,2500.0,11199.995519886017,0,1,0
49,141.06348564492785,-0.08870601156985675,-0.01646489534735132,99.80399999999976,1,792.0,8699.99312466618,2500.0,11199.99312466618,0,1,0
50,141.05083479324261,-0.08996391123543057,-0.02208551950683989,99.79999999999976,1,800.0,8699.995591763798,2500.0,11199.995591763798,0,1,0
51,141.06009820070693,-0.09668638078479083,-0.012758347696453986,99.79599999999975,1,808.0,8699.993838794962,2500.0,11199.993838794962,0,1,0
52,141.06749253271548,-0.10591625242021942,-0.021937049000354574,99.79199999999975,1,816.0,8699.992229406984,2500.0,11199.992229406984,0,1,0
53,141.05498776544718,-0.1039220703423486,-0.02317282102946722,99.78799999999974,1,824.0,8699.994842076792,2500.0,11199.994842076792,0,1,0
54,141.05531268526883,-0.10311566222557533,-0.03026912739427884,99.78399999999974,1,832.0,8699.99478094091,2500.0,11199.99478094091,0,1,0
55,141.03879082641382,-0.10284376577287725,-0.028521195171311027,99.77999999999973,1,840.0,8699.997433148113,2500.0,11199.997433148113,0,1,0
56,141.03931972908734,-0.09551857465267516,-0.019463416059885746,99.77599999999973,1,848.0,8699.997362674227,2500.0,11199.997362674227,0,1,0
57,141.04401023186725,-0.09395768713602064,-0.024175414740466257,99.77199999999972,1,856.0,8699.996695923803,2500.0,11199.996695923803,0,1,0
58,141.0536056671906,-0.08925984922379815,-0.01451667115820557,99.76799999999972,1,864.0,8699.995098103447,2500.0,11199.995098103447,0,1,0
59,141.03380014208452,-0.09211116791815091,-0.02298687558922849,99.76399999999971,1,872.0,8699.998051143772,2500.0,11199.998051143772,0,1,0
60,141.01961230032853,-0.09641613734456585,-0.018178984274285125,99.7599999999997,1,880.0,8699.999343854992,2500.0,11199.999343854992,0,1,0
61,141.03710219484924,-0.08788624107098132,-0.01107174892091939,99.7559999999997,1,888.0,8699.99765176287,2500.0,11199.99765176287,0,1,0
62,141.02228626744872,-0.08232534530196517,-0.01181693620010514,99.7519999999997,1,896.0,8699.999152738576,2500.0,11199.999152738576,0,1,0
63,141.007822760021,-0.08644129433258146,-0.014721112107711036,99.74799999999969,1,904.0,8699.999895609068,2500.0,11199.999895609068,0,1,0
64,141.0100469968446,-0.09006226300644422,-0.01386194996501798,99.74399999999969,1,912.0,8699.99982780708,2500.0,11199.99982780708,0,1,0
65,140.99367929276747,-0.08469196874539635,-0.021809914138142608,99.73999999999968,1,920.0,8699.999931848704,2500.0,11199.999931848704,0,1,0
66,140.9986060405911,-0.080072738790374,-0.014890325259011747,99.73599999999968,1,928.0,8699.999996685308,2500.0,11199.999996685308,0,1,0
67,141.01331730012777,-0.0855403050948286,-0.01070224124697027,99.73199999999967,1,936.0,8699.99969746534,2500.0,11199.99969746534,0,1,0
68,140.9951754180435,-0.07786195292946362,-0.015852142632801967,99.72799999999967,1,944.0,8699.99996029345,2500.0,11199.99996029345,0,1,0
69,141.00248993515518,-0.06861488565785316,-0.011972587410765297,99.72399999999966,1,952.0,8699.999989424063,2500.0,11199.999989424063,0,1,0
70,141.0117555966317,-0.07583216779385568,-0.01938953872676758,99.71999999999966,1,960.0,8699.999764260632,2500.0,11199.999764260632,0,1,0
71,141.01806422074307,-0.06763047455057929,-0.02142212270670732,99.71599999999965,1,968.0,8699.999443351271,2500.0,11199.999443351271,0,1,0
72,141.00802922953324,-0.07416987605002077,-0.014259077826562374,99.71199999999965,1,976.0,8699.999890025876,2500.0,11199.999890025876,0,1,0
73,140.99636651712552,-0.08030858884477707,-0.008473923292493114,99.70799999999964,1,984.0,8699.99997747893,2500.0,11199.99997747893,0,1,0
74,140.99535474719116,-0.08084381023575554,-0.004772471084077169,99.70399999999964,1,992.0,8699.999963190368,2500.0,11199.999963190368,0,1,0
75,141.00972259556715,-0.0888826404935798,-0.0038971865635009355,99.69999999999963,1,1000.0,8699.999838747222,2500.0,11199.999838747222,0,1,0
76,141.01662211050194,-0.09564162455951533,-0.007290014778525068,99.69599999999963,1,998.0,8199.999528680846,3000.0,11199.999528680846,1,1,0
77,141.0119692910687,-0.09509873761198324,0.0007686844584624698,99.69199999999962,1,996.0,8199.999755612145,3000.0,11199.999755612145,1,1,0
78,141.0062047690143,-0.0960092134188013,-0.0022632283226562255,99.68799999999962,1,994.0,8199.99993432592,3000.0,11199.99993432592,1,1,0
79,141.00581717990482,-0.10031005861675228,-0.009671990202502999,99.68399999999961,1,992.0,8199.999942274493,3000.0,11199.999942274493,1,1,0
80,141.0207729934666,-0.09203647472660137,-0.013246792584444778,99.67999999999961,1,990.0,8199.999263893036,3000.0,11199.999263893036,1,1,0
81,141.01282856436112,-0.09830458240649542,-0.007095155430240101,99.6759999999996,1,988.0,8199.999719263504,3000.0,11199.999719263504,1,1,0
82,141.0030684820634,-0.10558412827192491,-0.01120795490854288,99.6719999999996,1,986.0,8199.999983938356,3000.0,11199.999983938356,1,1,0
83,140.98923891700554,-0.10917443352903508,-0.011067813482789037,99.6679999999996,1,984.0,8199.999802460148,3000.0,11199.999802460148,1,1,0
84,141.00351889652396,-0.1122894549493622,-0.019689670209326642,99.66399999999959,1,982.0,8199.999978876993,3000.0,11199.999978876993,1,1,0
85,140.98831345178908,-0.10363216784181868,-0.01675580794257285,99.65999999999958,1,980.0,8199.999767021807,3000.0,11199.999767021807,1,1,0
86,141.00679529204655,-0.10903209308220883,-0.006883371118287825,99.65599999999958,1,978.0,8199.999921230332,3000.0,11199.999921230332,1,1,0
87,140.98844562667318,-0.10749868956332395,-0.004312086176467174,99.65199999999957,1,976.0,8199.999772261974,3000.0,11199.999772261974,1,1,0
88,140.9926160256873,-0.11230425029966287,0.0012412117007372103,99.64799999999957,1,974.0,8199.999906991397,3000.0,11199.999906991397,1,1,0
89,141.00448410280504,-0.10373965073710559,0.00025449253698555177,99.64399999999956,1,972.0,8199.999965700017,3000.0,11199.999965700017,1,1,0
90,140.98767462423095,-0.10895187419313943,-0.00014579958981082546,99.63999999999956,1,970.0,8199.99974085484,3000.0,11199.99974085484,1,1,0
91,140.9897002705182,-0.11443545183888915,0.0019345356636559976,99.63599999999956,1,968.0,8199.999819035078,3000.0,11199.999819035078,1,1,0
92,141.00194714241184,-0.1165932775655057,0.011525487849765613,99.63199999999955,1,966.0,8199.999993532472,3000.0,11199.999993532472,1,1,0
93,141.0142342960759,-0.12172132331009947,0.007511212545442512,99.62799999999955,1,964.0,8199.999654367359,3000.0,11199.999654367359,1,1,0
94,141.02137137634452,-0.12148751295392463,0.01637033120950341,99.62399999999954,1,962.0,8199.99922087392,3000.0,11199.99922087392,1,1,0
95,141.03218666733434,-0.12033953650855438,0.020276951323534173,99.61999999999954,1,960.0,8199.99823276309,3000.0,11199.99823276309,1,1,0
96,141.02380211898094,-0.12626363829259515,0.01853649732949874,99.61599999999953,1,958.0,8199.999033561995,3000.0,11199.999033561995,1,1,0
97,141.01908250127167,-0.12725730642736643,0.01287190822303672,99.61199999999953,1,956.0,8199.999378825874,3000.0,11199.999378825874,1,1,0
98,140.9994916708692,-0.1348758411789797,0.01031130650644428,99.60799999999952,1,954.0,8199.999999559208,3000.0,11199.999999559208,1,1,0
99,140.98061377411713,-0.12575792307504377,0.00483140818854084,99.60399999999952,1,952.0,8199.999358894805,3000.0,11199.999358894805,1,1,0
100,140.97803320954853,-0.12180480246314479,0.010575587050818219,99.59999999999951,1,950.0,8199.999176855707,3000.0,11199.999176855707,1,1,0
101,140.99637407720817,-0.12453712075625274,0.0032026519699284925,99.5959999999995,1,948.0,8199.99997757255,3000.0,11199.99997757255,1,1,0
102,141.00252249852159,-0.1276682560602569,0.008423367652846583,99.5919999999995,1,946.0,8199.99998914563,3000.0,11199.99998914563,1,1,0
103,141.01212660324973,-0.13005430343353666,0.007744711084219112,99.5879999999995,1,944.0,8199.999749145962,3000.0,11199.999749145962,1,1,0
104,141.02431463542806,-0.13999186840977487,0.005339650708116149,99.58399999999949,1,942.0,8199.998991494478,3000.0,11199.998991494478,1,1,0
105,141.02265364941584,-0.13425608554263688,-0.00324972771942204,99.57999999999949,1,940.0,8199.999124574675,3000.0,11199.999124574675,1,1,0
106,141.01793981477297,-0.13335183403200973,-0.0018943957501808065,99.57599999999948,1,938.0,8199.999450992007,3000.0,11199.999450992007,1,1,0
107,141.02714356223098,-0.12797275003607525,-0.00018751872269246773,99.57199999999948,1,936.0,8199.998743170288,3000.0,11199.998743170288,1,1,0
108,141.01493499308148,-0.12037979072759648,-0.005166079364650704,99.56799999999947,1,934.0,8199.99961950162,3000.0,11199.99961950162,1,1,0
109,141.0100346590717,-0.1297343537281177,-0.011802735915172141,99.56399999999947,1,932.0,8199.999828229727,3000.0,11199.999828229727,1,1,0
110,141.0234209386989,-0.13345628668080425,-0.005585709811079484,99.55999999999946,1,930.0,8199.99906426828,3000.0,11199.99906426828,1,1,0
111,141.0046864327176,-0.13154841816368143,-0.01338853173842645,99.55599999999946,1,928.0,8199.999962534845,3000.0,11199.999962534845,1,1,0
112,140.99594565319893,-0.12374072068824277,-0.016334695675616958,99.55199999999945,1,926.0,8199.999971959578,3000.0,11199.999971959578,1,1,0
113,140.98024064960794,-0.1297561838740321,-0.014790286767813028,99.54799999999945,1,924.0,8199.999333978754,3000.0,11199.999333978754,1,1,0
114,140.98669939136974,-0.12657463372769706,-0.02008756084498855,99.54399999999944,1,922.0,8199.99969822324,3000.0,11199.99969822324,1,1,0
115,140.97206249092926,-0.1293965652713734,-0.012543345449218575,99.53999999999944,1,920.0,8199.998668570679,3000.0,11199.998668570679,1,1,0
116,140.97069167443766,-0.1383178766452868,-0.016330206009952428,99.53599999999943,1,918.0,8199.998534706014,3000.0,11199.998534706014,1,1,0
117,140.96830758552082,-0.138235213478431,-0.007085332837889884,99.53199999999943,1,916.0,8199.998286621136,3000.0,11199.998286621136,1,1,0
118,140.97920681400947,-0.139891990809439,-0.004730806039914173,99.52799999999942,1,914.0,8199.999262461264,3000.0,11199.999262461264,1,1,0
119,140.96596539847107,-0.14043392595105408,0.004065793601366599,99.52399999999942,1,912.0,8199.998024012966,3000.0,11199.998024012966,1,1,0
120,140.94606537902172,-0.14730078819942494,0.003986677678097019,99.51999999999941,1,910.0,8199.995037757404,3000.0,11199.995037757404,1,1,0
121,140.95925912998777,-0.15285089825040918,0.001681249232885004,99.51599999999941,1,908.0,8199.997168586217,3000.0,11199.997168586217,1,1,0
122,140.97356404095683,-0.14781302715945824,0.0027116243053512557,99.5119999999994,1,906.0,8199.998807844531,3000.0,11199.998807844531,1,1,0
123,140.96798891881429,-0.14041175321074967,-0.00014934940748570057,99.5079999999994,1,904.0,8199.998251991916,3000.0,11199.998251991916,1,1,0
124,140.95426869823586,-0.1461479041550866,-0.0023388427260986454,99.5039999999994,1,902.0,8199.996432451655,3000.0,11199.996432451655,1,1,0
125,140.97062171613152,-0.1362416816424407,-0.0050999573636458986,99.49999999999939,1,900.0,8199.998527702419,3000.0,11199.998527702419,1,1,0
126,140.95857778994178,-0.13102281161550897,-0.00779433740723737,99.49599999999938,1,898.0,8199.997073090617,3000.0,11199.997073090617,1,1,0
127,140.96371498570838,-0.13509076220234287,-0.013160303385681495,99.49199999999938,1,896.0,8199.997754064163,3000.0,11199.997754064163,1,1,0
128,140.96590817842372,-0.13182135856736474,-0.018203881205198686,99.48799999999937,1,894.0,8199.998017363198,3000.0,11199.998017363198,1,1,0
129,140.9765015180882,-0.12789106172477968,-0.01855900067028264,99.48399999999937,1,892.0,8199.999058061889,3000.0,11199.999058061889,1,1,0
130,140.96184422234458,-0.13258649834261446,-0.010374901833817533,99.47999999999936,1,890.0,8199.99751650457,3000.0,11199.99751650457,1,1,0
131,140.95853617050201,-0.12625424775391467,-0.00736982533792346,99.47599999999936,1,888.0,8199.997067205972,3000.0,11199.997067205972,1,1,0
